,ds_provincia,cod_provincia,value,anio,trimestre,sector
303,Tarragona,43,17.2,2008,2,Agricultura
304,Teruel,44,7.1,2008,2,Agricultura
305,Toledo,45,16.4,2008,2,Agricultura
306,Valencia/ValÃ¨ncia,46,35.8,2008,2,Agricultura
307,Valladolid,47,12.8,2008,2,Agricultura
308,Zamora,49,12.2,2008,2,Agricultura
309,Zaragoza,50,16.6,2008,2,Agricultura
310,Ceuta,51,0.1,2008,2,Agricultura
311,Melilla,52,0.0,2008,2,Agricultura
312,Albacete,2,23.5,2008,2,Construccion
313,Alicante/Alacant,3,123.3,2008,2,Construccion
314,AlmerÃ­a,4,52.0,2008,2,Construccion
315,Araba/Ã�lava,1,12.9,2008,2,Construccion
316,Asturias,33,60.3,2008,2,Construccion
317,Ã�vila,5,13.2,2008,2,Construccion
318,Badajoz,6,41.5,2008,2,Construccion
319,"Balears, Illes",7,95.5,2008,2,Construccion
320,Barcelona,8,309.9,2008,2,Construccion
321,Bizkaia,48,58.5,2008,2,Construccion
322,Burgos,9,23.3,2008,2,Construccion
323,CÃ¡ceres,10,26.9,2008,2,Construccion
324,CÃ¡diz,11,75.6,2008,2,Construccion
325,Cantabria,39,38.8,2008,2,Construccion
326,CastellÃ³n/CastellÃ³,12,45.0,2008,2,Construccion
327,Ciudad Real,13,44.1,2008,2,Construccion
328,CÃ³rdoba,14,46.1,2008,2,Construccion
329,"CoruÃ±a, A",15,61.7,2008,2,Construccion
330,Cuenca,16,15.2,2008,2,Construccion
331,Gipuzkoa,20,24.5,2008,2,Construccion
332,Girona,17,68.7,2008,2,Construccion
333,Granada,18,65.0,2008,2,Construccion
334,Guadalajara,19,15.1,2008,2,Construccion
335,Huelva,21,33.0,2008,2,Construccion
336,Huesca,22,15.3,2008,2,Construccion
337,JaÃ©n,23,35.8,2008,2,Construccion
338,LeÃ³n,24,24.8,2008,2,Construccion
339,Lleida,25,32.4,2008,2,Construccion
340,Lugo,27,19.5,2008,2,Construccion
341,Madrid,28,376.4,2008,2,Construccion
342,MÃ¡laga,29,111.6,2008,2,Construccion
343,Murcia,30,106.6,2008,2,Construccion
344,Navarra,31,39.0,2008,2,Construccion
345,Ourense,32,16.7,2008,2,Construccion
346,Palencia,34,7.6,2008,2,Construccion
347,"Palmas, Las",35,64.2,2008,2,Construccion
348,Pontevedra,36,53.2,2008,2,Construccion
349,"Rioja, La",26,19.7,2008,2,Construccion
350,Salamanca,37,14.8,2008,2,Construccion
351,Santa Cruz de Tenerife,38,76.1,2008,2,Construccion
352,Segovia,40,10.7,2008,2,Construccion
353,Sevilla,41,121.5,2008,2,Construccion
354,Soria,42,5.2,2008,2,Construccion
355,Tarragona,43,67.6,2008,2,Construccion
356,Teruel,44,11.1,2008,2,Construccion
357,Toledo,45,60.8,2008,2,Construccion
358,Valencia/ValÃ¨ncia,46,177.6,2008,2,Construccion
359,Valladolid,47,26.8,2008,2,Construccion
360,Zamora,49,9.2,2008,2,Construccion
361,Zaragoza,50,55.2,2008,2,Construccion
362,Ceuta,51,1.9,2008,2,Construccion
363,Melilla,52,2.2,2008,2,Construccion
364,Albacete,2,32.9,2008,2,Industria
